2026-01-02 06:09:53 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 06:09:54 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 06:09:54 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 06:09:55 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 06:09:55 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 06:09:56 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 06:09:56 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 06:09:57 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 06:09:57 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 06:09:57 | INFO | news_crawler | crawl_news_once total=100 unique=97
2026-01-02 06:10:03 | INFO | news_crawler | sync_news_dir done: new_files=18 dup_skipped=79
2026-01-02 06:34:04 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 06:34:04 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 06:34:05 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 06:34:05 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 06:34:06 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 06:34:06 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 06:34:08 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 06:34:08 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 06:34:09 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 06:34:09 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 06:34:09 | INFO | news_crawler | crawl_news_once total=100 unique=98
2026-01-02 06:34:11 | INFO | news_crawler | sync_news_dir done: new_files=12 dup_skipped=86
2026-01-02 06:53:49 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 06:53:49 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 06:53:50 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 06:53:50 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 06:53:51 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 06:53:51 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 06:53:52 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 06:53:52 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 06:53:53 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 06:53:54 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 06:53:54 | INFO | news_crawler | crawl_news_once total=100 unique=98
2026-01-02 06:53:54 | INFO | news_crawler | sync_news_dir done: new_files=3 dup_skipped=95
2026-01-02 07:05:57 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 07:05:57 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 07:05:58 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 07:05:58 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 07:05:59 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 07:05:59 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 07:06:00 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 07:06:00 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 07:06:01 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 07:06:01 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 07:06:01 | INFO | news_crawler | crawl_news_once total=100 unique=99
